name,registry_type,registry_id,registry_court,structure,list_index,list_date_day,list_date_month,list_date_year
PPL Phoenix Parts & Logistics GmbH,HRB,24404,Duisburg,Gesellschaft mit beschränkter Haftung,0,10,04,2012
Kirchmann GmbH,HRB,68366,Düsseldorf,Gesellschaft mit beschränkter Haftung,0,13,09,2013
Kirchmann GmbH,HRB,68366,Düsseldorf,Gesellschaft mit beschränkter Haftung,1,31,07,2012
CUTTY Gesellschaft für Medien und Software mit beschränkter Haftung,HRB,708555,Freiburg,Gesellschaft mit beschränkter Haftung,0,,,
CUTTY Gesellschaft für Medien und Software mit beschränkter Haftung,HRB,708555,Freiburg,Gesellschaft mit beschränkter Haftung,1,,,
Monopol Textilhandels GmbH,HRB,12176,Aschaffenburg,Gesellschaft mit beschränkter Haftung,0,27,04,2016
Monopol Textilhandels GmbH,HRB,12176,Aschaffenburg,Gesellschaft mit beschränkter Haftung,1,,,
Monopol Textilhandels GmbH,HRB,12176,Aschaffenburg,Gesellschaft mit beschränkter Haftung,2,,,
aloe-cosmetics UG (haftungsbeschränkt),HRB,28281,Leipzig,Gesellschaft mit beschränkter Haftung,0,03,03,2015
aloe-cosmetics UG (haftungsbeschränkt),HRB,28281,Leipzig,Gesellschaft mit beschränkter Haftung,1,06,05,2014
aloe-cosmetics UG (haftungsbeschränkt),HRB,28281,Leipzig,Gesellschaft mit beschränkter Haftung,2,17,06,2013
aloe-cosmetics UG (haftungsbeschränkt),HRB,28281,Leipzig,Gesellschaft mit beschränkter Haftung,3,29,05,2012
Walter & Gallus GmbH,HRB,11291,Kleve,Gesellschaft mit beschränkter Haftung,0,30,12,2011
Architekturbüro Bosch GmbH,HRB,740533,Stuttgart,Gesellschaft mit beschränkter Haftung,0,05,03,2012
Autohaus Wenden GmbH,HRB,203558,Braunschweig,Gesellschaft mit beschränkter Haftung,0,22,02,2017
Autohaus Wenden GmbH,HRB,203558,Braunschweig,Gesellschaft mit beschränkter Haftung,1,12,01,2016
Autohaus Wenden GmbH,HRB,203558,Braunschweig,Gesellschaft mit beschränkter Haftung,2,08,05,2012
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,0,03,07,2017
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,1,07,06,2017
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,2,09,12,2014
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,3,16,07,2014
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,4,16,07,2014
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,5,16,07,2014
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,6,14,07,2014
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,7,04,06,2014
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,8,23,04,2014
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,9,04,12,2012
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,10,16,03,2012
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,11,16,02,2012
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,12,16,02,2012
EEG Europium Energie Gesellschaft mbH,HRB,26901,Augsburg,Gesellschaft mit beschränkter Haftung,13,,,
Koiwerk GmbH,HRB,24033,Essen,Gesellschaft mit beschränkter Haftung,0,10,06,2016
Koiwerk GmbH,HRB,24033,Essen,Gesellschaft mit beschränkter Haftung,1,27,07,2012
Baldsiefen Steuerberatungsgesellschaft mbH,HRB,74476,Köln,Gesellschaft mit beschränkter Haftung,0,04,05,2012
Baldsiefen Steuerberatungsgesellschaft mbH,HRB,74476,Köln,Gesellschaft mit beschränkter Haftung,1,,,
Baldsiefen Steuerberatungsgesellschaft mbH,HRB,74476,Köln,Gesellschaft mit beschränkter Haftung,2,,,
Baldsiefen Steuerberatungsgesellschaft mbH,HRB,74476,Köln,Gesellschaft mit beschränkter Haftung,3,,,
Hunger Film UG (haftungsbeschränkt),HRB,140756,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,0,21,03,2012
Voltech Plan UG (haftungsbeschränkt),HRB,7347,Bamberg,Gesellschaft mit beschränkter Haftung,0,03,01,2017
Voltech Plan UG (haftungsbeschränkt),HRB,7347,Bamberg,Gesellschaft mit beschränkter Haftung,1,19,04,2013
cu fashion Verwaltungs-GmbH,HRB,11474,Würzburg,Gesellschaft mit beschränkter Haftung,0,19,11,2015
cu fashion Verwaltungs-GmbH,HRB,11474,Würzburg,Gesellschaft mit beschränkter Haftung,1,27,03,2012
BonusConsult GmbH,HRB,196980,München,Gesellschaft mit beschränkter Haftung,0,,,
BonusConsult GmbH,HRB,196980,München,Gesellschaft mit beschränkter Haftung,1,,,
BonusConsult GmbH,HRB,196980,München,Gesellschaft mit beschränkter Haftung,2,,,
fonds [id] Projekt-Beteiligungen GmbH,HRB,140241,Berlin (Charlottenburg),Gesellschaft mit beschränkter Haftung,0,27,02,2012
Assetando Capital GmbH,HRB,122740,Hamburg,Gesellschaft mit beschränkter Haftung,0,18,09,2014
Assetando Capital GmbH,HRB,122740,Hamburg,Gesellschaft mit beschränkter Haftung,1,08,11,2013
Assetando Capital GmbH,HRB,122740,Hamburg,Gesellschaft mit beschränkter Haftung,2,21,02,2013
Assetando Capital GmbH,HRB,122740,Hamburg,Gesellschaft mit beschränkter Haftung,3,23,04,2012
